id,title,release_date,tracks,trailer_id,playlist_id,spotify_id
1,IMAGINATION vol.1,2019-03-01,12,MDKMr7Epsn4,PLFa-uB75PupP85BC3aVPqd5jJNEQNku_2,38tBBPZ0QrfTPInFKZJDlF
2,Dreaming!,2019-03-27,15,HWRyclm_qhg,OLAK5uy_kfr2Wm5uAJIO4AzQE0yiH-xjFPfEVLsPM,6WdnjCln4vrlkhltjtfECD
3,Shirakami Cafe Music,2019-08-12,10,ZRcoBelgPKA,OLAK5uy_nHMEq_zoYqHkrtQqwSLxSCUVM_YRENMSw,1R3zqaRsdIlDDR8nUbUvEz
4,VirtuaREAL.00,2019-10-27,8,7882GRJQlck,OLAK5uy_ltWXwNOyvjrPZ4EV2MOhDdtqnE_NVVe1w,0LxLgu0L3QwafCFLH3fIeU
5,VirtuaREAL.00 -Reverse-,2019-10-27,8,OWqQtAdP49I,NULL,NULL
6,IMAGINATION vol.2,2019-11-02,12,C2nUgBFpiFY,OLAK5uy_kc1kPQ-b-by4QYt5XkBIf_d5QBb-GW40g,4wV3dB01X9I9B07VgsREra
7,without U,2019-11-12,13,Sn-gqYhssNA,OLAK5uy_nVxmkQzkGjbHOSWClfNZmx6ECExe8G0Os,5r0zuXyA7NBKmTpxSTgKTd
8,My Loving,2020-03-04,6,Ai4dXfgfb5I,OLAK5uy_l6MARnlsDlCWQsk2epROnHrYwX5beb12c,5ditzDWWZn7herDSqVhbi4
9,A MOMENT,2020-05-05,8,nrWv6rDbD-o,OLAK5uy_lDaBnYIS2WaRoPsux2Cl8VIaFxl3UsDck,26PS8qG4jsrXVtBOcSqNGZ
10,VirtuaREAL MIX.01 mixed by DJ TAMU,2020-05-24,37,oTIToqjTPFU,NULL,NULL
11,#GENSOKYOholoism,2020-06-26,12,h2-1BjZW_rg,NULL,NULL
12,VirtuaREAL.02,2020-08-15,11,o6PmIOg-yaI,OLAK5uy_nUT8MsFfv5qpAn7_m36-6U86P77pF4r8A,0v4WQM7C0CERn0rglMA5S3
13,DEAD BEATS,2020-09-13,4,NULL,OLAK5uy_m62qOoGixVIpooHkwmbcvRT25WX5GSGwI,1jVQ4lEhdJ3fOMl9JZGEI3
14,ON STAGE!,2020-10-21,8,CgzrIjMJU3Y,OLAK5uy_miTCoJ3PTUFO2b8aQVXxxXxTY35iNDKmo,3AeFqp4NKavMMArpUJI8Bo
15,IMAGINATION vol.3,2020-10-24,12,IkhcwTLxJ1c,OLAK5uy_lyH-CPs7rUqMCd4b5djERhgwzZ7oqNzDo,4ZLEa6NaNP28L3IRT4K9Oi
16,poppin kiss,2020-11-27,9,NULL,OLAK5uy_loxjyt9pHGlV1XugtqzjPCWkx2izWtPzo,5jcssJEWleNxF23ULPElpM
17,Re:Creating world,2020-12-01,13,cn_9lMzzU_c,OLAK5uy_l5dp0IrFG3pATKylol_qnAKsog96TBj_M,6KaxU9RGzEACjplf9tV1hj
18,Bouquet,2021-01-28,14,NULL,OLAK5uy_m9CTHZbTGo5EPIi7SRmM3PB0gC0KiBIro,2m4GyMt1ffTR1XkA5gW4mR
19,Hololive English -Myth- Image Soundtrack (ft. Camellia),2021-03-13,5,8WDmXoHqgLw,OLAK5uy_kF10WikLqBtuE1WXJjQlovdR__pkvBLjY,3FMSNQPrpkCa3whS2nO3nx
20,VirtuaREAL MIX.02 mixed by DJ TAMU,2021-03-28,38,EwzqWf1YvIQ,NULL,NULL
21,Your Mori.,2021-04-04,5,Jv87UZRPgK4,OLAK5uy_my-PH0PCm4xkX5pCJwrX1FGtId4qdKbAc,51ejt0sPz42rdY2QtoiSxd
22,Bouquet (Midnight ver.),2021-05-01,14,XD1t7JHbge0,OLAK5uy_napmWn2Jc-y11uiS_g-A6rH8SkfYxb8yU,7L5NDnmtnZmjzSFP7wFXk4
23,WATAME NO UTA vol.1,2021-05-31,9,NULL,OLAK5uy_lPgFuJTN59BANglqfO32VBUrc7pw-2EaM,37Y2oJ2kBQam0vyuoirGP1
24,hololive music studio – Sunshine,2021-08-02,10,VPBqpyub4Kc,OLAK5uy_kUjTWtr6OVFCasexnG-5fzvVeFF2MkKrc,0JbEGdLpxCln1KWLVtqIMy
25,Still Still Stellar,2021-09-29,12,CrbUyoaosYE,OLAK5uy_ndHa01w_Xnhuntill2-ZIUaVbs_LKqhU4,2HmlBFz06FldsdzwY1FHg4
26,hololive meets DJ’TEKINA//SOMETHING remix,2021-11-17,3,7afoD1ZBn3I,OLAK5uy_nQ_zWKPADWDfEQGqBzMM3DEhw5lYujcD0,7H0V7uT9xO0CCgmuWm8u11
27,Re:Play,2021-11-24,15,hwZs-JyRUTc,OLAK5uy_l_9DSzkd4_hMCCn9Yue-4NI94LdXX0KmM,7dOjS2ivJtYEqtgPFz38CT
28,hololive music studio – Twilight,2021-11-27,10,WFWw821wozI,OLAK5uy_mXTRGBo0Jvl21jUTCXyFRgBGMYA7V3wHc,2eVSNwJvIy7NVhtRX5zMEd
