member_id,group_id
1,G1
2,G1
3,G1
4,G1
5,G1
6,G1
7,G1
8,G1
10,G1
11,G1
12,G1
13,G1
14,G1
15,G1
16,G1
17,G1
18,G1
19,G1
23,G1
24,G1
25,G1
26,G1
27,G1
36,G1
37,G1
38,G1
39,G1
40,G1
44,G1
45,G1
47,G1
51,G1
52,G1
53,G1
55,G1
56,G1
57,G1
58,G1
59,G1
60,G1
61,G1
62,G1
63,G1
64,G1
65,G1
66,G1
67,G1
68,G1
69,G1
70,G1
71,G1
72,G1
73,G1
74,G1
75,G1
20,G2
21,G2
22,G2
28,G2
29,G2
31,G2
33,G2
34,G2
35,G2
48,G2
49,G2
50,G2
44,G3
45,G3
47,G3
61,G3
62,G3
63,G3
56,G4
57,G4
58,G4
59,G4
60,G4
64,G4
65,G4
66,G4
67,G4
68,G4
69,G4
70,G4
56,G5
57,G5
58,G5
59,G5
60,G5
1,G6
2,G6
3,G6
4,G6
5,G6
6,G6
7,G6
8,G6
10,G6
11,G6
12,G6
13,G6
14,G6
15,G6
16,G6
17,G6
18,G6
19,G6
23,G6
24,G6
25,G6
26,G6
27,G6
36,G6
39,G6
51,G6
52,G6
53,G6
55,G6
1,G7
2,G7
3,G7
4,G7
5,G7
6,G7
7,G7
8,G7
10,G7
11,G7
12,G7
13,G7
14,G7
15,G7
17,G7
23,G7
24,G7
25,G7
26,G7
27,G7
36,G7
38,G7
39,G7
51,G7
52,G7
53,G7
55,G7
58,G7
64,G7
11,G8
15,G8
52,G8
23,G9
24,G9
25,G9
26,G9
27,G9
