member_id,name,status,debut_gen,debut_date,grad_date,yt_channel_id,twitter_id,spotify_id
1,Tokino Sora,ACTIVE,JP0,2017-09-07,NULL,UCp6993wxpyDPHUpavwDFqgg,tokino_sora,2g9gjJayRURjomDGRLNaZR
2,Roboco,ACTIVE,JP0,2018-03-04,NULL,UCDqI2jOz0weumE8s7paEk6g,robocosan,1JSf6ODLyqPpYQAHN7S1Th
3,Hoshimachi Suisei,ACTIVE,Indie,2018-03-22,NULL,UC5CwaMl1eIgY8h02uZw7u8A,suisei_hosimati,726WiFmWkohzodUxK3XjHX
4,Yozora Mel,ACTIVE,JP1,2018-06-01,NULL,UCD8HOxPs4Xvsm8H0ZxXGiBw,yozoramel,4Hv8fxKG4YGfv5ezI6o4Xx
5,Shirakami Fubuki,ACTIVE,JP1,2018-06-01,NULL,UCdn5BQ06XqgXoAxIhbqw5Rg,shirakamifubuki,2GR0oaCTOgws9PfuheMw0k
6,Natsuiro Matsuri,ACTIVE,JP1,2018-06-01,NULL,UCQ0UDLQCjY0rmuxCDE38FGg,natsuiromatsuri,2Q4XylLbowI36GGLh487Fp
7,Aki Rosenthal,ACTIVE,JP1,2018-06-01,NULL,UCFTLzh12_nrtzqBPsTCqenA,akirosenthal,2ANytjXP6otAgDNUwWeym5
8,Akai Haato,ACTIVE,JP1,2018-06-02,NULL,UC1CfXB_kRs3C-zaeTG3oGyg,akaihaato,1d7xr1J9jeQpwTOVCc07WU
9,Hitomi Chris,GRAD,JP1,2018-06-03,2018-06-26,UCbfQf5D9v8XBp7_sQsh5rfQ,hitomikurisu,NULL
10,Sakura Miko,ACTIVE,Cover Corp,2018-08-01,NULL,UC-hM6YJuNYVAmUWxeIr9FeA,sakuramiko35,6YFKPqnL4YtX9jJmj5zkzv
11,Minato Aqua,ACTIVE,JP2,2018-08-08,NULL,UC1opHUrw8rvnsadT-iGp7Cg,minatoaqua,6GHr4rGFHGRUuzuCuxJA0f
12,Murasaki Shion,ACTIVE,JP2,2018-08-17,NULL,UCXTpFs_3PqI41qX2d9tL2Rw,murasakishionch,5Th82IWKMPF6PpvsBl06Qj
13,Nakiri Ayame,ACTIVE,JP2,2018-09-03,NULL,UC7fk0CB07ly8oSl0aqKkqFg,nakiriayame,1dMlek4eXZns9FyjBcvrF8
14,Yuzuki Choco,ACTIVE,JP2,2018-09-04,NULL,UC1suqwovbL1kzsoaZgFZLKg,yuzukichococh,7f88eYygFslxqmdh0mDWXn
15,Oozora Subaru,ACTIVE,JP2,2018-09-16,NULL,UCvzGlP9oQwU--Y0r9id_jnA,oozorasubaru,1gSUbOpSpv15bOewxQ64eB
16,AZKi,ACTIVE,INNK Music,2018-11-15,NULL,UC0TXe_LYZ4scaW2XMyi5_kw,AZKi_VDiVA,0HX3yJ7THlqC9drRqhOkgo
17,Ookami Mio,ACTIVE,Gamers,2018-12-07,NULL,UCp-5t9SrOQwXMU7iIjQfARg,ookamimio,539Z6h1XU1IripGR4rTtbz
18,Nekomata Okayu,ACTIVE,Gamers,2019-04-06,NULL,UCvaTdHTWBGv3MKj3KVqJVCw,nekomataokayu,28lO8lCOqFvDB5la90xKUW
19,Inugami Korone,ACTIVE,Gamers,2019-04-13,NULL,UChAnqc_AY5_I3Px5dig3X1Q,inugamikorone,6EFbQU0BE4wGLdqBjey64b
20,Hanasaki Miyabi,ACTIVE,STARS1,2019-06-08,NULL,UC6t3-_N8A6ME1JShZHHqOMw,miyabihanasaki,NULL
21,Kagami Kira,GRAD,STARS1,2019-06-09,2020-11-30,UCEzsociuFqVwgZuMaZqaCsg,kagamikirach,NULL
22,Kanade Izuru,ACTIVE,STARS1,2019-06-22,NULL,UCZgOv3YDEs-ZnZWDYVwJdmA,kanadeizuru,0asG3iGnDzxlo0S4O595Td
23,Usada Pekora,ACTIVE,JP3,2019-07-17,NULL,UC1DCedRgGHBdm81E1llLhOQ,usadapekora,4JlcSp9i5LcilRSMqaVimt
24,Uruha Rushia,ACTIVE,JP3,2019-07-18,NULL,UCl_gCybOJRIgOXw6Qb4qJzQ,uruharushia,70qI9Ih5VXZMuCsEVhy22C
25,Shiranui Flare,ACTIVE,JP3,2019-08-07,NULL,UCvInZx9h3jC2JzsIzoOebWg,shiranuiflare,0JHnoazUTZHoJMqRwsCDNT
26,Shirogane Noel,ACTIVE,JP3,2019-08-08,NULL,UCdyqAaZDKHXg4Ahi7VENThQ,shiroganenoel,58dqdL1HubAnJ1QYj5CQCs
27,Houshou Marine,ACTIVE,JP3,2019-08-11,NULL,UCCzUftO8KOVkV4wQG1vkUvg,houshoumarine,5XaBNKQo65yYcjNA8wQPOk
