id,title,type,release_date,spotify_id,album_id,track_no
1,The sky of early spring,0,2018-01-08,NULL,NULL,NULL
2,Ano Hi Mita Sora,0,2018-01-15,NULL,NULL,NULL
3,The sky of early spring,4,2018-01-19,NULL,NULL,NULL
4,Yumeiro Asterisk,0,2018-01-29,2oSCs755U2KBgoY9lrt1en,2,15
5,Melty Land Nightmare,1,2018-04-30,NULL,NULL,NULL
6,Akanbe,1,2018-05-03,NULL,NULL,NULL
7,Me and You and Everyone!,0,2018-05-15,NULL,NULL,NULL
8,Ano Hi Mita Sora,4,2018-06-01,NULL,NULL,NULL
9,Lion,1,2018-06-08,NULL,NULL,NULL
10,OKAERI,0,2018-07-08,1KAPfqbQYXtL3odJbi5OYX,2,14
11,Kimi to Nagameru Natsu no Hana,0,2018-07-21,6JYiu8ZQ9WxA0ZNkV59AUt,NULL,NULL
12,Taiyokei Disco,0,2018-07-28,NULL,NULL,NULL
13,Melancholic,1,2018-08-06,NULL,NULL,NULL
14,Blue Bird,1,2018-08-13,NULL,NULL,NULL
15,Cendrillon,1,2018-08-14,NULL,NULL,NULL
16,Sugar Song to Bitter Step,1,2018-08-21,NULL,NULL,NULL
17,The Moon swimming in the sea,1,2018-09-03,NULL,NULL,NULL
18,The Boy and Magic Robot,1,2018-09-20,NULL,NULL,NULL
19,Genesis of Aquarion,1,2018-09-24,NULL,NULL,NULL
20,"rain stops, good-bye",1,2018-09-30,NULL,NULL,NULL
21,Ayano's Theory of Happiness,1,2018-10-01,NULL,NULL,NULL
22,Wistful Record,0,2018-10-04,2L4iHhnKqa2up7J9sK6tnZ,2,8
23,PLATONIC GIRL,1,2018-10-08,NULL,NULL,NULL
24,Wistful Record,1,2018-10-09,NULL,NULL,NULL
25,Happy Halloween,1,2018-10-21,NULL,NULL,NULL
26,Brain Fluid Explosion Girl,1,2018-10-25,NULL,NULL,NULL
27,Humorous Dream of Mrs. Pumpkin,1,2018-10-31,NULL,NULL,NULL
28,Melty Land Nightmare,1,2018-11-10,NULL,NULL,NULL
29,Wandering Days,0,2018-11-12,4q4Uzzu5VOOUFLjDDLsruS,2,12
30,Wistful Record,1,2018-11-13,NULL,NULL,NULL
31,comet,0,2018-11-22,5ZfIWQXhZdmxRemkyUUqfN,NULL,NULL
32,Geki! Teikoku Kagekidan,1,2018-11-23,NULL,NULL,NULL
33,"Ah, It's a Wonderful Cat Life",1,2018-11-30,NULL,NULL,NULL
34,Sonna Ame no Hi ni wa,0,2018-12-12,5DdDt4TKlt4MQLttagznMM,2,10
35,Umi yori fukai sora no shita,0,2018-12-18,63pZZ3mXw7OVrVAtWo2p7S,2,9
36,"Please, darling",1,2018-12-24,NULL,NULL,NULL
37,melty world,1,2018-12-24,NULL,NULL,NULL
38,Shinsekai,1,2018-12-25,NULL,NULL,NULL
39,Love! Snow! Really Magic,1,2018-12-25,NULL,NULL,NULL
40,BRING IT ON,1,2018-12-26,NULL,NULL,NULL
41,Creating world,0,2018-12-28,4McpnduCLAkgKucCUZ6vXd,NULL,NULL
42,Alien Alien,1,2019-01-02,NULL,NULL,NULL
43,Dream☆Story,0,2019-01-08,5cNX1K6xEkEvA66SXGSoJP,2,1
44,Blend Caravan,0,2019-01-11,5DtV2QzzsNSl4BCWRHvaFH,2,7
45,Heartbeat,0,2019-01-14,40lqvLpMh6iLArDrGe5FZK,4,2
46,Real Melancholy,0,2019-01-31,4oNWFdj8TaNE38mllY67GH,NULL,NULL
47,Shine!!,1,2019-02-13,NULL,NULL,NULL
48,Valentine Kiss,1,2019-02-14,NULL,NULL,NULL
49,"Please, darling",1,2019-02-14,NULL,NULL,NULL
50,Milk Tea,1,2019-02-15,NULL,NULL,NULL
51,Kotobazake,0,2019-02-21,3WzrIoCt3Aytl5hKE2uQ6C,2,3
52,Pre-Parade,1,2019-02-25,NULL,1,0
53,Sekai Wa Koi Ni Ochiteiru,1,2019-02-25,4HlUQyhMDDG6Y7Uu4p5rYt,1,1
54,Secret Base ~Kimi ga Kureta Mono~,1,2019-02-25,5ezf020ZofKmCYo3d6OIdF,1,6
55,Felicia,0,2019-02-25,42oyZkYiXbA9E8mIvZCrCS,NULL,NULL
56,My name is elite☆,0,2019-02-26,NULL,NULL,NULL
57,I can't control myself,3,2019-02-28,7MDJb5sAGH2r34Az8szO1k,NULL,NULL
58,I believe ~Umi no Soko kara~,1,2019-03-10,NULL,NULL,NULL
59,Sweet Magic,1,2019-03-14,NULL,NULL,NULL
60,DONUT HOLE,1,2019-03-17,NULL,NULL,NULL
61,Her Trail on the Celestial Sphere,0,2019-03-22,0wTs0OV88H5YZrFX6zN4QJ,NULL,NULL
62,Hikari no Machi,0,2019-03-25,2G5kLObG2RrVG5NUlN2Qqz,NULL,NULL
63,Heroic Heroine,0,2019-03-27,61PoYqknIL31ZCRJtYQq3k,2,2
64,Hoshi no furu ni wa,0,2019-03-27,5KgQ0OyKOdMPVRIIHPOAyW,2,4
65,Saenai Jibun ni Love Song o,0,2019-03-27,3sf7PFQ6ZTVgZVXrefTcMF,2,5
66,IMAGE source,0,2019-03-27,69e0snJrn4F3IvAS8qy5vY,2,6
67,Metro Night,0,2019-03-27,30gwCaYzcU3jhsmSYDan4U,2,11
68,"I love you so much, I think I’m going to cry",0,2019-03-27,56uLtWhFjILLmGIufmcv50,2,13
69,Starry Regrets,0,2019-03-28,6jyBRo78hAwE82UjSIXMYG,NULL,NULL
70,Snow Song Show,1,2019-04-10,NULL,NULL,NULL
71,Sweet Horror Princess,0,2019-04-12,NULL,NULL,NULL
72,Viva Happy,1,2019-04-22,NULL,NULL,NULL
73,FICTION,0,2019-04-28,NULL,NULL,NULL
74,BOYS & GIRLS 3.0,0,2019-04-28,NULL,NULL,NULL
75,Inochi,3,2019-04-30,54vgHPOH9dvQJQ1VDDll5C,NULL,NULL
76,Fake.Fake.Fake,3,2019-04-30,2Ry3Dh3961tMDiEztJF2vg,NULL,NULL
77,Wholeheartedly,1,2019-05-05,NULL,NULL,NULL
78,"Goodbye, Ms. Floral Thief",1,2019-05-05,NULL,NULL,NULL
79,HAPPY BIRTHDAY,1,2019-05-13,NULL,NULL,NULL
80,Shit Days,0,2019-05-31,2wZFu4CW38XrzRli6Yby95,NULL,NULL
81,DANZEN! Futari wa Pretty Cure,1,2019-06-09,NULL,NULL,NULL
82,Ai Kotoba,1,2019-06-24,NULL,NULL,NULL
83,Kataomoi,1,2019-06-25,NULL,NULL,NULL
84,Castle&Dragon Theme Song,3,2019-06-29,NULL,NULL,NULL
85,Sayonara Hero,0,2019-06-30,1ZO9WzyITWRmeUg0nZERCr,NULL,NULL
86,from A to Z,0,2019-07-01,6ATf4wXi52Cewd0BGpkmTW,NULL,NULL
87,Moffu Moffu DE Yoinoja yo,1,2019-07-03,NULL,NULL,NULL
88,Love Song,1,2019-07-08,NULL,NULL,NULL
89,Creating World (Jun Kuroda Remix),2,2019-07-17,NULL,NULL,NULL
90,Remote Controller,1,2019-07-19,NULL,NULL,NULL
91,Gift,1,2019-07-20,NULL,NULL,NULL
92,Monday's melancholy,1,2019-07-20,NULL,NULL,NULL
93,Summer Color Festival!!!,0,2019-07-20,NULL,NULL,NULL
94,Ai Kotoba III,1,2019-07-25,NULL,NULL,NULL
95,Manjushage,1,2019-07-26,NULL,NULL,NULL
96,ERROR,0,2019-07-31,1o1XdW6wzRwDo5FrdTCt9D,NULL,NULL
97,Fansa,1,2019-08-03,NULL,NULL,NULL
98,Brand New Life,0,2019-08-12,6HR1VZNzQyAFZVsA3E8stw,3,1
99,Ne-e...,0,2019-08-12,0hDxNxlhrZTcQHYzG70qqS,3,2
100,April,0,2019-08-12,3yRixKQfFGxn6aFar1m7Zb,3,5
101,March Bossa,0,2019-08-12,4Z8iEw2tDAtHF9Ql4iCPjH,3,6
102,FAMS,0,2019-08-12,6vEOKHxnWEJkQC8FG00VuH,3,7
103,Petit Swing,0,2019-08-12,2Jy60G7IsLazgWYIUSJA68,3,8
104,TOKIWA,0,2019-08-12,0qRHrT4rIM9LThXe8fRksW,3,9
105,Sweeping,0,2019-08-12,4X5DGi4qZsDoa4EseilqnP,3,10
106,Shiny Smily Story,1,2019-08-16,NULL,NULL,NULL
107,Onegai Muscle,1,2019-08-19,NULL,NULL,NULL
108,Summer Festival,1,2019-08-23,NULL,NULL,NULL
109,Kimino Shiranai Monogatari,1,2019-08-31,NULL,NULL,NULL
110,Summer Festival,1,2019-09-06,NULL,NULL,NULL
111,Stickybug,1,2019-09-11,NULL,NULL,NULL
112,Akari ga yattekita zo,1,2019-09-12,NULL,NULL,NULL
113,Shiny Smily Story,0,2019-09-16,7xYhi9aBdlNGM7SXSeXc6n,NULL,NULL
114,Onegai Muscle,1,2019-09-16,NULL,NULL,NULL
115,Sweet Magic,1,2019-09-19,NULL,NULL,NULL
116,Comet Honeymoon,1,2019-09-28,NULL,NULL,NULL
117,Sobaniite,1,2019-10-04,NULL,NULL,NULL
118,Fure Fure LOVE,0,2019-10-06,1cMLHIxc8P2RBP7gf0Peva,9,5
119,Hurray Hurray LOVE,0,2019-10-06,2z6fuY0LouVifOjts7lchb,NULL,NULL
120,Hana Dokino Sora (original ver.),0,2019-10-06,NULL,NULL,NULL
121,Marigold,1,2019-10-06,NULL,NULL,NULL
122,Scatman,1,2019-10-12,NULL,NULL,NULL
123,Akatsuki no Kuruma,1,2019-10-25,NULL,NULL,NULL
124,"LiE,LiE,LiE,LiE",0,2019-10-27,5ZaoY79bRYhD9VnYsOMZQn,7,3
125,fragile,1,2019-10-29,3rkc9WlCs3xVxOdRqOVgQF,6,4
126,Akari ga yattekita zo,1,2019-10-29,NULL,NULL,NULL
127,SEKAI HA MEGURI YAGATE KIMI NO MONO NI NARU,0,2019-10-30,3cb8c1t83B5mrLTmQwCWHr,7,7
128,NIZI WO KAKENUKETE,0,2019-11-02,4B6ogIdgHcXbxWskocpHZY,7,5
129,KOINO UTA,1,2019-11-02,1v5t5eh6CtP8gAP9bfP7Tl,6,9
130,FRONTIER LOCUS,0,2019-11-02,7zZdlMTqDZUweYiGACSGeq,7,11
131,Kaeritakunatta yo,1,2019-11-02,NULL,6,Bonus
132,CHISANA KOKORO GA KIMETA KOTO,0,2019-11-05,2RVhiR7waMQBjYQ61HH4AP,7,6
133,Atashi Ponkotsu Android,1,2019-11-07,NULL,NULL,NULL
134,Kakusei,1,2019-11-11,NULL,NULL,NULL
135,without U,0,2019-11-12,6zkl4l1o70KDjF7Rx4iYVp,7,1
136,KOTONOHA,0,2019-11-12,6HZxVFt2e4h2XSuIn0R96f,7,2
137,ZIKO ALLERGIES,0,2019-11-12,2N2FMAOeASnY2tIfWhTmi0,7,4
138,Midnight Song,0,2019-11-12,4aFxx9EU0oU53fUcFebGu9,7,8
139,Reflection,0,2019-11-12,4BicxV5zlcOATkdrdYnpJQ,7,9
140,NONBIRITO、,0,2019-11-12,03Tu5QJGL8bHcRNtYeRWKj,7,10
141,REAL MELANCHOLY - TEMPLINE Remix,2,2019-11-12,4eSgqKapDmj0ZjzKrW4PRn,7,12
