id,title,type,release_date,spotify_id,album_id,track_no
1,The sky of early spring,0,2018-01-08,NULL,NULL,NULL
2,Ano Hi Mita Sora,0,2018-01-15,NULL,NULL,NULL
3,The sky of early spring,4,2018-01-19,NULL,NULL,NULL
4,Yumeiro Asterisk,0,2018-01-29,2oSCs755U2KBgoY9lrt1en,2,15
5,Melty Land Nightmare,1,2018-04-30,NULL,NULL,NULL
6,Akanbe,1,2018-05-03,NULL,NULL,NULL
7,Me and You and Everyone!,0,2018-05-15,NULL,NULL,NULL
8,Ano Hi Mita Sora,4,2018-06-01,NULL,NULL,NULL
9,Lion,1,2018-06-08,NULL,NULL,NULL
10,OKAERI,0,2018-07-08,1KAPfqbQYXtL3odJbi5OYX,2,14
11,Taiyokei Disco,0,2018-07-28,NULL,NULL,NULL
12,Melancholic,1,2018-08-06,NULL,NULL,NULL
13,Blue Bird,1,2018-08-13,NULL,NULL,NULL
14,Cendrillon,1,2018-08-14,NULL,NULL,NULL
15,The Moon swimming in the sea,1,2018-09-03,NULL,NULL,NULL
16,The Boy and Magic Robot,1,2018-09-20,NULL,NULL,NULL
17,Genesis of Aquarion,1,2018-09-24,NULL,NULL,NULL
18,"rain stops, good-bye",1,2018-09-30,NULL,NULL,NULL
19,Wistful Record,0,2018-10-04,2L4iHhnKqa2up7J9sK6tnZ,2,8
20,PLATONIC GIRL,1,2018-10-08,NULL,NULL,NULL
21,Brain Fluid Explosion Girl,1,2018-10-25,NULL,NULL,NULL
22,Humorous Dream of Mrs. Pumpkin,1,2018-10-31,NULL,NULL,NULL
23,Melty Land Nightmare,1,2018-11-10,NULL,NULL,NULL
24,Wandering Days,0,2018-11-12,4q4Uzzu5VOOUFLjDDLsruS,2,12
25,comet,0,2018-11-22,5ZfIWQXhZdmxRemkyUUqfN,NULL,NULL
26,Geki! Teikoku Kagekidan,1,2018-11-23,NULL,NULL,NULL
27,"Ah, It's a Wonderful Cat Life",1,2018-11-30,NULL,NULL,NULL
28,Sonna Ame no Hi ni wa,0,2018-12-12,5DdDt4TKlt4MQLttagznMM,2,10
29,Umi yori fukai sora no shita,0,2018-12-18,63pZZ3mXw7OVrVAtWo2p7S,2,9
30,"Please, darling",1,2018-12-24,NULL,NULL,NULL
31,melty world,1,2018-12-24,NULL,NULL,NULL
32,Shinsekai,1,2018-12-25,NULL,NULL,NULL
33,BRING IT ON,1,2018-12-26,NULL,NULL,NULL
34,Creating world,0,2018-12-28,4McpnduCLAkgKucCUZ6vXd,NULL,NULL
35,Alien Alien,1,2019-01-02,NULL,NULL,NULL
36,Dream☆Story,0,2019-01-08,5cNX1K6xEkEvA66SXGSoJP,2,1
37,Blend Caravan,0,2019-01-11,5DtV2QzzsNSl4BCWRHvaFH,2,7
38,Heartbeat,0,2019-01-14,40lqvLpMh6iLArDrGe5FZK,4,2
39,Real Melancholy,0,2019-01-31,4oNWFdj8TaNE38mllY67GH,NULL,NULL
40,Shine!!,1,2019-02-13,NULL,NULL,NULL
41,Valentine Kiss,1,2019-02-14,NULL,NULL,NULL
42,Milk Tea,1,2019-02-15,NULL,NULL,NULL
43,Kotobazake,0,2019-02-21,3WzrIoCt3Aytl5hKE2uQ6C,2,3
44,Pre-Parade,1,2019-02-25,NULL,1,0
45,Sekai Wa Koi Ni Ochiteiru,1,2019-02-25,4HlUQyhMDDG6Y7Uu4p5rYt,1,1
46,Secret Base ~Kimi ga Kureta Mono~,1,2019-02-25,5ezf020ZofKmCYo3d6OIdF,1,6
47,Felicia,0,2019-02-25,42oyZkYiXbA9E8mIvZCrCS,NULL,NULL
48,My name is elite☆,0,2019-02-26,NULL,NULL,NULL
49,I can't control myself,0,2019-02-28,7MDJb5sAGH2r34Az8szO1k,NULL,NULL
50,DONUT HOLE,1,2019-03-17,NULL,NULL,NULL
51,Her Trail on the Celestial Sphere,0,2019-03-22,0wTs0OV88H5YZrFX6zN4QJ,NULL,NULL
52,Hikari no Machi,0,2019-03-25,2G5kLObG2RrVG5NUlN2Qqz,NULL,NULL
53,Heroic Heroine,0,2019-03-27,61PoYqknIL31ZCRJtYQq3k,2,2
54,Hoshi no furu ni wa,0,2019-03-27,5KgQ0OyKOdMPVRIIHPOAyW,2,4
55,Saenai Jibun ni Love Song o,0,2019-03-27,3sf7PFQ6ZTVgZVXrefTcMF,2,5
56,IMAGE source,0,2019-03-27,69e0snJrn4F3IvAS8qy5vY,2,6
57,Metro Night,0,2019-03-27,30gwCaYzcU3jhsmSYDan4U,2,11
58,"I love you so much, I think I’m going to cry",0,2019-03-27,56uLtWhFjILLmGIufmcv50,2,13
59,Starry Regrets,0,2019-03-28,6jyBRo78hAwE82UjSIXMYG,NULL,NULL
60,Snow Song Show,1,2019-04-10,NULL,NULL,NULL
61,Sweet Horror Princess,0,2019-04-12,NULL,NULL,NULL
62,Viva Happy,1,2019-04-22,NULL,NULL,NULL
63,FICTION,0,2019-04-28,NULL,NULL,NULL
64,BOYS & GIRLS 3.0,0,2019-04-28,NULL,NULL,NULL
65,Inochi,0,2019-04-30,54vgHPOH9dvQJQ1VDDll5C,NULL,NULL
66,Fake.Fake.Fake,0,2019-04-30,2Ry3Dh3961tMDiEztJF2vg,NULL,NULL
67,Wholeheartedly,1,2019-05-05,NULL,NULL,NULL
68,"Goodbye, Ms. Floral Thief",1,2019-05-05,NULL,NULL,NULL
69,HAPPY BIRTHDAY,1,2019-05-13,NULL,NULL,NULL
70,Shit Days,0,2019-05-31,2wZFu4CW38XrzRli6Yby95,NULL,NULL
71,DANZEN! Futari wa Pretty Cure,1,2019-06-09,NULL,NULL,NULL
72,Ai Kotoba,1,2019-06-24,NULL,NULL,NULL
73,Castle&Dragon Theme Song,3,2019-06-29,NULL,NULL,NULL
74,Sayonara Hero,0,2019-06-30,1ZO9WzyITWRmeUg0nZERCr,NULL,NULL
75,from A to Z,0,2019-07-01,6ATf4wXi52Cewd0BGpkmTW,NULL,NULL
76,Moffu Moffu DE Yoinoja yo,1,2019-07-03,NULL,NULL,NULL
77,Creating World (Jun Kuroda Remix),2,2019-07-17,NULL,NULL,NULL
78,Remote Controller,1,2019-07-19,NULL,NULL,NULL
79,Gift,1,2019-07-20,NULL,NULL,NULL
80,Monday's melancholy,1,2019-07-20,NULL,NULL,NULL
81,Manjushage,1,2019-07-26,NULL,NULL,NULL
82,ERROR,0,2019-07-31,1o1XdW6wzRwDo5FrdTCt9D,NULL,NULL
83,Brand New Life,0,2019-08-12,6HR1VZNzQyAFZVsA3E8stw,3,1
84,Ne-e...,0,2019-08-12,0hDxNxlhrZTcQHYzG70qqS,3,2
85,April,0,2019-08-12,3yRixKQfFGxn6aFar1m7Zb,3,5
86,March Bossa,0,2019-08-12,4Z8iEw2tDAtHF9Ql4iCPjH,3,6
87,FAMS,0,2019-08-12,6vEOKHxnWEJkQC8FG00VuH,3,7
88,Petit Swing,0,2019-08-12,2Jy60G7IsLazgWYIUSJA68,3,8
89,TOKIWA,0,2019-08-12,0qRHrT4rIM9LThXe8fRksW,3,9
90,Sweeping,0,2019-08-12,4X5DGi4qZsDoa4EseilqnP,3,10
91,Onegai Muscle,1,2019-08-19,NULL,NULL,NULL
92,Summer Festival,1,2019-08-23,NULL,NULL,NULL
93,Stickybug,1,2019-09-11,NULL,NULL,NULL
94,Shiny Smily Story,0,2019-09-16,7xYhi9aBdlNGM7SXSeXc6n,NULL,NULL
95,Sweet Magic,1,2019-09-19,NULL,NULL,NULL
96,Comet Honeymoon,1,2019-09-28,NULL,NULL,NULL
97,Fure Fure LOVE,0,2019-10-06,1cMLHIxc8P2RBP7gf0Peva,9,5
98,Hurray Hurray LOVE,0,2019-10-06,2z6fuY0LouVifOjts7lchb,NULL,NULL
99,Hana Dokino Sora (original ver.),0,2019-10-06,NULL,NULL,NULL
100,Scatman,1,2019-10-12,NULL,NULL,NULL
101,Akatsuki no Kuruma,1,2019-10-25,NULL,NULL,NULL
102,"LiE,LiE,LiE,LiE",0,2019-10-27,5ZaoY79bRYhD9VnYsOMZQn,7,3
103,fragile,1,2019-10-29,3rkc9WlCs3xVxOdRqOVgQF,6,4
104,Akari ga yattekita zo,1,2019-10-29,NULL,NULL,NULL
105,SEKAI HA MEGURI YAGATE KIMI NO MONO NI NARU,0,2019-10-30,3cb8c1t83B5mrLTmQwCWHr,7,7
106,NIZI WO KAKENUKETE,0,2019-11-02,4B6ogIdgHcXbxWskocpHZY,7,5
107,KOINO UTA,1,2019-11-02,1v5t5eh6CtP8gAP9bfP7Tl,6,9
108,FRONTIER LOCUS,0,2019-11-02,7zZdlMTqDZUweYiGACSGeq,7,11
109,Kaeritakunatta yo,1,2019-11-02,NULL,6,Bonus
110,CHISANA KOKORO GA KIMETA KOTO,0,2019-11-05,2RVhiR7waMQBjYQ61HH4AP,7,6
111,Atashi Ponkotsu Android,1,2019-11-07,NULL,NULL,NULL
112,Kakusei,1,2019-11-11,NULL,NULL,NULL
113,without U,0,2019-11-12,6zkl4l1o70KDjF7Rx4iYVp,7,1
114,KOTONOHA,0,2019-11-12,6HZxVFt2e4h2XSuIn0R96f,7,2
115,ZIKO ALLERGIES,0,2019-11-12,2N2FMAOeASnY2tIfWhTmi0,7,4
116,Midnight Song,0,2019-11-12,4aFxx9EU0oU53fUcFebGu9,7,8
117,Reflection,0,2019-11-12,4BicxV5zlcOATkdrdYnpJQ,7,9
118,NONBIRITO、,0,2019-11-12,03Tu5QJGL8bHcRNtYeRWKj,7,10
119,REAL MELANCHOLY - TEMPLINE Remix,2,2019-11-12,4eSgqKapDmj0ZjzKrW4PRn,7,12
120,Starry Regrets - Batsu Remix,2,2019-11-12,0PZUbGo6PwVfV2f4XUcj4y,7,13
121,Say!Fanfare!,0,2019-11-16,4lGK1mI6TxMHMH7BV3Ds0X,NULL,NULL
122,Souzetsu Gekkou,1,2019-11-27,NULL,NULL,NULL
123,Vital-,0,2019-11-30,NULL,NULL,NULL
124,Love Trial,1,2019-12-07,NULL,NULL,NULL
125,Raisanka,1,2019-12-14,NULL,NULL,NULL
126,FRIDAY THE 13TH!,1,2019-12-15,NULL,NULL,NULL
127,shounen shoujo moratorium survive,1,2019-12-15,NULL,NULL,NULL
128,FINE!!,0,2019-12-19,4RKKZ2NYhHmH4fGoTJicQo,8,1
129,Call Our Name,0,2019-12-19,4N7T0VTpF7rpe8ummputn2,8,2
130,Play the Game,0,2019-12-19,3Meh2cyBYiZbNSZjpodkld,8,3
131,Clockwork Clown,1,2019-12-22,NULL,NULL,NULL
132,blessing,1,2019-12-24,NULL,NULL,NULL
133,Nekoze Punch!!,0,2019-12-25,NULL,NULL,NULL
134,Lonely Christmas,0,2019-12-25,NULL,NULL,NULL
135,Jingle Bells,1,2019-12-26,NULL,NULL,NULL
136,Kowareyasuki,1,2019-12-29,NULL,NULL,NULL
137,Matsuriyo Emaki,1,2020-01-02,NULL,NULL,NULL
138,Kusozako Kaisen Sotsugyo! Song,0,2020-01-05,2DcmCoqslijnx5eqSCZFcK,26,1
