id,name,yt_channel_id,yt_topic_id,spotify_id,twitter_id,first_release
1,hololive,UCJFZiqLMntJufDCHc6bQixg,NULL,71oatjakqnwstn8er0zwg60ja,hololivetv,2019-07-07
2,hololive IDOL PROJECT,NULL,UCuCfKSM0_23RRXxQGYTVJlw,18Zr9CaElvS40S0AtizMWZ,NULL,2019-09-16
3,holostars,UCWsfcksUUpoEvhia0_ut0bA,UCsgYp2f3IrJYfyXPqv1lXpg,6bk51KYcUESMvf5rJGRbnH,holostarstv,2020-06-03
4,hololive Indonesia,UCfrWoRGlawPQDQxxeIDRP0Q,NULL,7iDL7tTq20cIwXsAewcz4d,hololive_Id,2020-06-29
5,Spice Love,NULL,NULL,0UZzH1mZXZIxqKqbvm5exD,NULL,2020-10-11
6,SoraMiko (Tokino Sora & Sakura Miko),NULL,NULL,1ZxywKWuaOBBDiwPTlUlYU,NULL,2020-10-21
7,hololive English,UCotXwY6s8pWmuWd_snKYjhg,NULL,NULL,hololive_En,2021-03-13
8,hololive English -Myth-,NULL,UNDER VARIOUS ARTISTS,7msVentVTxKtCHHBmmDfIl,NULL,2021-03-13
9,hololive 1st Generation,NULL,NULL,2g6hLpgqXy98NxfgFY1LvD,NULL,2021-05-15
10,hololive 4th Generation,NULL,NULL,6J7Y5RTI7ovOp3pLO6dJH8,NULL,2021-06-25
11,hololive music studio,NULL,NULL,52zS4fS68hvyi8GDcWcawj,NULL,2021-08-02
12,SubaOka,NULL,NULL,7iXsEBSi62pZRzuePdFj0s,NULL,2021-08-28
13,NEGI☆U,NULL,UCX6pImCxrZ_uKt_xQCY7Hnw,0oyRWkoZs1hXQwXFaNxbQO,NEGI_U_official,2021-09-01
14,UMISEA,NULL,NULL,57uGbHiQfAA2Emy3NqxWgK,NULL,2021-09-18
15,HOLOLIVE FANTASY,NULL,UNDER VARIOUS ARTISTS,4R8Qf3gbqd9bhiQoUToAAU,NULL,2021-11-21
16,Iroha ni Hohetto AyaFubuMi,NULL,UCRZBKITy8MaFKdiZEns6fuw,4yNmDmIRZptH90MevoYvQs,NULL,2022-01-01
17,Midnight Grand Orchestra,UCnVbtCwr-5LXxUlGxsgD7sQ,UCEkx8aE2yjitVQ-5lG-xhGQ,60lgIOOISxGcxyjX4GJeii,M_G_Orchestra,2022-03-30
18,hololive Indonesia 1st Generation,NULL,UNDER VARIOUS ARTISTS,5NkXryxdtHg2t0ZcXfzeyq,NULL,2022-04-16
19,ORIO,NULL,UC6mlC122eX0JRYcdgOPcNGQ,3xsiv3OekVUqyDlM3oQLFo,NULL,2022-05-02
20,HOLOSTARS English,UCJxZpzx4wHzEYD-eCiZPikg,NULL,NULL,hololivepro_EN,2022-07-15
21,hololive ERROR,NULL,UNDER VARIOUS ARTISTS,090XLVI6nYBE9ar6AvpViU,NULL,2022-07-18
22,TEMPUS,NULL,UNDER VARIOUS ARTISTS,10wMGJZT9rZB8C9Zz3AIJ3,NULL,2022-08-13
23,hololive English -Council-,NULL,UNDER VARIOUS ARTISTS,4IzVrwKeO1QbIeKZOhBUVv,NULL,2022-08-24
24,Shiranui Kensetsu (Shiraken),NULL,NULL,NULL,shiraken_pr,2022-09-07
